scalar,RGB_r,RGB_g,RGB_b
0.0,0.9019609615426805,0.0,1.8828543269501915e-07
0.00392156862745098,0.9030661150129695,0.02540002884267854,0.006484105622653563
0.00784313725490196,0.904108144855804,0.050072985400621016,0.01322292305599603
0.011764705882352941,0.9050872369503573,0.06953497036439296,0.020214387920027287
0.01568627450980392,0.9060035818151029,0.08552190164951945,0.02745602828785016
0.0196078431372549,0.9068573745246121,0.0993438094710555,0.03494515849615502
0.023529411764705882,0.907648814629269,0.11165578073866672,0.04260719999632775
0.027450980392156862,0.9083781060777701,0.12283927853254664,0.04982926332324399
0.03137254901960784,0.909045457142246,0.13313870459931623,0.05660270064127309
0.03529411764705882,0.9096510803458767,0.14272133871936177,0.06301617863397332
0.0392156862745098,0.9101951923928769,0.1517073715399641,0.06913281015620734
0.043137254901960784,0.9106780141007181,0.16018643880206745,0.07499920847326597
0.047058823529411764,0.911099770334488,0.16822739230609865,0.08065082000161392
0.050980392156862744,0.9114606899432551,0.17588440303097408,0.08611524394435818
0.054901960784313725,0.9117610056983687,0.18320094712962592,0.09141439292131281
0.058823529411764705,0.9120009542335598,0.19021250660315178,0.09656595178133051
0.06274509803921569,0.9121807759867823,0.19694845634270125,0.10158439331373742
0.06666666666666667,0.9123007151436847,0.20343341767467582,0.10648170418802133
0.07058823529411765,0.9123610195826456,0.20968825141293568,0.11126791561323393
0.07450980392156863,0.9123619408212807,0.21573080090126912,0.11595149893238837
0.0784313725490196,0.9123037339643598,0.22157645768373307,0.12053966565550883
0.08235294117647059,0.9121866576530524,0.22723859879057623,0.12503859851532018
0.08627450980392157,0.9120109740154436,0.23272892942962603,0.12945363184210198
0.09019607843137255,0.9117769486182523,0.23805775486181685,0.13378939410495294
0.09411764705882353,0.9114848504196916,0.24323419849766342,0.13804992180368134
0.09803921568627451,0.9111349517234177,0.24826637862031486,0.14223875138393016
0.10196078431372549,0.9107275281335098,0.2531615529021004,0.1463589940949496
0.10588235294117647,0.9102628585104325,0.25792623757936217,0.15041339746555954
0.10980392156862745,0.9097412249279313,0.26256630648962354,0.15440439617821314
0.11372549019607843,0.9091629126308108,0.2670870739606243,0.15833415446731913
0.11764705882352941,0.9085282099935608,0.2714933646415034,0.16220460168486436
0.12156862745098039,0.90783740847978,0.27578957269279347,0.16601746231516407
0.12549019607843137,0.9070908026023621,0.27997971224193724,0.16977428144766
0.12941176470588234,0.9062886898844069,0.28406746062114024,0.17347644650842767
0.13333333333333333,0.9054313708208177,0.288056195603501,0.1771252058906582
0.13725490196078433,0.9045191488405552,0.2919490276191683,0.18072168499979763
0.1411764705882353,0.9035523302695138,0.2957488277495741,0.18426690013147695
0.14509803921568626,0.9025312242939857,0.2994582521525241,0.18776177052339732
0.14901960784313725,0.901456142924697,0.30307976345530346,0.19120712886119395
0.15294117647058825,0.9003274009613662,0.3066156495602828,0.19460373046938767
0.1568627450980392,0.8991453159577828,0.31006804023277335,0.19795226137918676
0.16078431372549018,0.8979102081873637,0.3134389217802301,0.20125334543301682
0.16470588235294117,0.8966224006091716,0.31673015008244526,0.20450755055972886
0.16862745098039217,0.8952822188343722,0.3199434621917946,0.20771539433319114
0.17254901960784313,0.8938899910931047,0.32308048668915507,0.21087734890951432
0.1764705882352941,0.8924460482017508,0.3261427529533938,0.21399384542370908
0.1803921568627451,0.8909507235305799,0.3291316994793094,0.21706527791461083
0.1843137254901961,0.8894043529717522,0.33204868135959825,0.22009200683688795
0.18823529411764706,0.88780727490766,0.33489497703029286,0.2230743622106
0.19215686274509802,0.8861598301795963,0.3376717943654795,0.22601264645173136
0.19607843137254902,0.8844623620567307,0.34038027619559125,0.22890713692119202
0.2,0.8827152162053764,0.34302150531379455,0.23175808822474547
0.20392156862745098,0.8809187406585383,0.3455965090266711,0.2345657342920653
0.20784313725490194,0.8790732857857221,0.3481062632982789,0.2373302902594696
0.21176470588235294,0.8771792042630024,0.35055169653057755,0.24005195417777925
0.21568627450980393,0.875236851043323,0.35293369301796634,0.24273090856406265
0.2196078431372549,0.8732465833270293,0.35525309610915756,0.24536732181374882
0.22352941176470587,0.8712087605326178,0.3575107111057056,0.24796134948759413
0.22745098039215686,0.8691237442676902,0.3597073079231118,0.2505131354862778
0.23137254901960785,0.866991898300104,0.36184362353749266,0.2530228131239215
0.23529411764705882,0.8648135885293106,0.3639203642382205,0.25549050611052393
