scalar,RGB_r,RGB_g,RGB_b
0.0,0.9019608422117501,0.10587412700099594,0.827451141338292
0.00392156862745098,0.9072363669271846,0.1322692355638013,0.8323813291995535
0.00784313725490196,0.912385568294179,0.15475987222373366,0.8372085143760785
0.011764705882352941,0.9174083930714034,0.17471586309649237,0.8419324153413255
0.01568627450980392,0.9223048053183441,0.19286516274971727,0.8465527697302546
0.0196078431372549,0.9270747864073927,0.2096465224676981,0.8510693342338628
0.023529411764705882,0.9317183350293576,0.2253470643627032,0.8554818844936524
0.027450980392156862,0.9362354671926285,0.2401659573454774,0.8597902149959303
0.03137254901960784,0.940626216216206,0.2542475043014537,0.8639941389658421
0.03529411764705882,0.9448906327167987,0.26769984579569944,0.8680934882610544
0.0392156862745098,0.9490287845901909,0.28060623601241164,0.8720881132650025
0.043137254901960784,0.9530407569870482,0.2930321958964352,0.8759778827796267
0.047058823529411764,0.9569266522833552,0.30503024256397787,0.8797626839175324
0.050980392156862744,0.960686590045641,0.3166431253546563,0.883442421993504
0.054901960784313725,0.9643207069911547,0.3279061050566895,0.8870170204153196
0.058823529411764705,0.9678291569431426,0.3388485994207507,0.8904864205738057
0.06274509803921569,0.9712121107813733,0.3494953968559276,0.8938505817320865
0.06666666666666667,0.9744697563880488,0.3598675685250554,0.8971094809139822
0.07058823529411765,0.97760229858923,0.3699831651800637,0.9002631127915073
0.07450980392156863,0.9806099590919052,0.37985775739308586,0.9033114895714361
0.0784313725490196,0.9834929764168275,0.38950485989823175,0.9062546408809007
0.08235294117647059,0.9862516058272209,0.39893626885380484,0.9090926136519821
0.08627450980392157,0.9888861192534871,0.4081623327654918,0.9118254720052709
0.09019607843137255,0.9913968052139998,0.41719217223649113,0.9144532971323689
0.09411764705882353,0.9937839687320996,0.42603385979229486,0.9169761871773054
0.09803921568627451,0.9960479312493792,0.43469456823028346,0.9193942571168475
0.10196078431372549,0.9981890305353643,0.4431806939180004,0.9217076386396871
0.10588235294117647,1.0,0.4514979599769286,0.9239164800244792
0.10980392156862745,1.0,0.45965150318399645,0.9260209460167265
0.11372549019607843,1.0,0.46764594759329786,0.9280212177044872
0.11764705882352941,1.0,0.47548546725075796,0.9299174923928986
0.12156862745098039,1.0,0.48317383989189616,0.9317099834775054
0.12549019607843137,1.0,0.49071449313969845,0.9333989203163849
0.12941176470588234,1.0,0.49811054442865305,0.9349845481010592
0.13333333333333333,1.0,0.5053648356523984,0.9364671277261903
0.13725490196078433,1.0,0.512479963351418,0.9378469356580555
0.1411764705882353,1.0,0.5194583051129572,0.9391242638017971
0.14509803921568626,1.0,0.5263020427395811,0.9402994193674455
0.14901960784313725,1.0,0.533013182649358,0.9413727247347173
0.15294117647058825,1.0,0.5395935738947761,0.9423445173165843
0.1568627450980392,1.0,0.5460449241255757,0.9432151494216213
0.16078431372549018,1.0,0.5523688137698349,0.9439849881151274
0.16470588235294117,1.0,0.5585667086657368,0.9446544150790336
0.16862745098039217,1.0,0.5646399713417031,0.9452238264705931
0.17254901960784313,1.0,0.5705898711136757,0.9456936327798656
0.1764705882352941,1.0,0.5764175931441571,0.9460642586859972
0.1803921568627451,1.0,0.5821242465873455,0.946336142912307
0.1843137254901961,1.0,0.5877108719276156,0.9465097380801878
0.18823529411764706,1.0,0.5931784476041397,0.9465855105618258
0.19215686274509802,1.0,0.5985278960022,0.9465639403317548
0.19607843137254902,1.0,0.603760088881287,0.9464455208172499
0.2,1.0,0.6088758523011666,0.9462307587475726
0.20392156862745098,1.0,0.6138759710994628,0.945920174002085
0.20784313725490194,1.0,0.6187611929677207,0.945514299457232
0.21176470588235294,1.0,0.6235322321672667,0.9450136808324189
0.21568627450980393,1.0,0.6281897729212798,0.9444188765347886
0.2196078431372549,1.0,0.6327344725152474,0.9437304575029128
0.22352941176470587,1.0,0.6371669641342984,0.942949007049417
0.22745098039215686,1.0,0.6414878594626917,0.9420751207025465
0.23137254901960785,1.0,0.6456977510679356,0.9411094060466976
0.23529411764705882,1.0,0.6497972145895662,0.9400524825619203
0.2392156862745098,0.9994892749779315,0.6537868107504532,0.9389049814624182
0.24313725490196078,0.9975605330805283,0.6576670872066158,0.9376675455340532
0.24705882352941178,0.9955318041723672,0.6614385802498701,0.9363408289708804
0.25098039215686274,0.9934039511295875,0.6651018163761466,0.9349254972107269
0.2549019607843137,0.9911778475412197,0.6686573137310307,0.9334222267698296
0.2588235294117647,0.9888543775257564,0.6721055834429217,0.9318317050765584
0.2627450980392157,0.9864344355463132,0.6754471308531781,0.9301546303042345
0.26666666666666666,0.9839189262244347,0.6786824566517233,0.9283917112030703
0.27058823529411763,0.9813087641525623,0.6818120579257576,0.9265436669312435
0.27450980392156865,0.9786048737052172,0.6848364291285187,0.9246112268851338
0.2784313725490196,0.9758081888489117,0.6877560629743751,0.9225951305287337
0.2823529411764706,0.9729196529508407,0.6905714512659639,0.9204961272222573
0.28627450980392155,0.9699402185863789,0.6932830856585684,0.9183149760499705
0.2901960784313725,0.9668708473454174,0.6958914583664664,0.9160524456472582
0.29411764705882354,0.9637125096375726,0.6983970628155572,0.9137093140269548
0.2980392156862745,0.9604661844963008,0.7008003942462084,0.9112863684049557
0.30196078431372547,0.9571328593819496,0.7031019502699177,0.9087844050251332
0.3058823529411765,0.9537135299837795,0.7053022313830815,0.9062042289835797
0.30980392156862746,0.9502092000209822,0.7074017414408861,0.9035466540521981
0.3137254901960784,0.946620881042734,0.7094009880940889,0.9008125025016637
0.3176470588235294,0.9429495922273046,0.7113004831912276,0.8980026049237796
