scalar,RGB_r,RGB_g,RGB_b
0.0,0.229999503869523,0.2989989340493757,0.7540001385755909
0.00392156862745098,0.23451750918602227,0.30586471825124395,0.760211287847582
0.00784313725490196,0.23905139222321042,0.3127183535972308,0.7663613706951182
0.011764705882352941,0.24360173659134393,0.3195596165920885,0.7724494083708937
0.01568627450980392,0.24816908043486063,0.3263882334026712,0.7784744332927405
0.0196078431372549,0.2527539181577133,0.33320388462766515,0.7844354891865981
0.023529411764705882,0.2573567020073357,0.34000620954660105,0.7903316312278388
0.027450980392156862,0.2619778435347074,0.34679480991553485,0.7961619261808824
0.03137254901960784,0.26661771494573244,0.3535692533668808,0.8019254525370476
0.03529411764705882,0.27127665035716014,0.3603290764626065,0.8076213006505808
0.0392156862745098,0.2759549469685693,0.36707378744303865,0.8132485728728039
0.043137254901960784,0.28065286616048635,0.3738028687076947,0.8188063836843364
0.047058823529411764,0.28537063452740313,0.3805157790595849,0.8242938598253321
0.050980392156862744,0.290108444853348,0.3872119557402635,0.829710140423685
0.054901960784313725,0.29486645703670555,0.39389081627931033,0.8350543771211603
0.058823529411764705,0.29964479897013246,0.40055176017889227,0.8403257341974
0.06274509803921569,0.3044435673806467,0.4071941704514421,0.8455233886917599
0.06666666666666667,0.3092628286343539,0.4138174150262432,0.8506465305229377
0.07058823529411765,0.31410261950970075,0.42042084803879215,0.855694362606348
0.07450980392156863,0.31896294794262137,0.42700381101512996,0.8606661009692106
0.0784313725490196,0.32384379374653294,0.433565633961903,0.8655609748633053
0.08235294117647059,0.3287451093097552,0.4401056363716497,0.8703782268753609
0.08627450980392157,0.3336668202725635,0.4466231281517376,0.8751171130350487
0.09019607843137255,0.33860882618583044,0.4531174104844022,0.8797769029205333
0.09411764705882353,0.3435710011529169,0.45958777662452927,0.8843568797615591
0.09803921568627451,0.34855319445627075,0.4660335126410878,0.8888563405400348
0.10196078431372549,0.3535552311699878,0.47245389810747435,0.8932745960880896
0.10588235294117647,0.358576912759404,0.47884820674548473,0.8976109711835651
0.10980392156862745,0.3636180176686524,0.48521570702712064,0.9018648046429223
0.11372549019607843,0.36867830189698697,0.4915556627380058,0.9060354494115306
0.11764705882352941,0.3737574995645366,0.49786733350580864,0.9101222726513165
0.12156862745098039,0.3788553234680863,0.5041499752967065,0.9141246558257436
0.12549019607843137,0.3839714656273692,0.5104028408826495,0.918041994782103
0.12941176470588234,0.3891055978222931,0.5166251802818846,0.921873699831088
0.13333333333333333,0.3942573721214574,0.5228162411749816,0.9256191958236352
0.13725490196078433,0.39942642140225454,0.5289752692983762,0.9292779222250067
0.1411764705882353,0.40461235986281163,0.5351015088172548,0.9328493331860931
0.14509803921568626,0.40981478352598444,0.5411942026794423,0.9363328976119262
0.14901960784313725,0.4150332707355876,0.5472525929517891,0.9397280992273694
0.15294117647058825,0.42026738264499447,0.5532759211404237,0.943034436639982
0.1568627450980392,0.425516663698256,0.5592634284961118,0.9462514234000324
0.16078431372549018,0.43078064210382444,0.5652143563058468,0.9493785880576479
0.16470588235294117,0.436058830300992,0.5711279461717078,0.9524154742170866
0.16862745098039217,0.4413507254191002,0.5770034402779126,0.9553616405881157
0.17254901960784313,0.44665580972961955,0.5828400816469307,0.9582166610344865
0.1764705882352941,0.4519735510911264,0.5886371143854353,0.960980124619491
0.1803921568627451,0.45730340338725844,0.594393783920808,0.9636516356485884
0.1843137254901961,0.4626448069576929,0.6001093372288537,0.9662308137090968
0.18823529411764706,0.4679971890221845,0.6057830230533235,0.9687172937069318
0.19215686274509802,0.4733599640977317,0.6114140921177984,0.9711107259003909
0.19607843137254902,0.4787325344089037,0.6170017973304325,0.9734107759309701
0.2,0.48411429029138137,0.6225453939820259,0.9756171248512094
0.20392156862745098,0.48950461058876077,0.6280441399378467,0.9777294691495585
0.20784313725490194,0.4949028630426718,0.6334972958235979,0.9797475207722576
0.21176470588235294,0.500308404676262,0.6389041252058836,0.9816710071422271
0.21568627450980393,0.5057205821711058,0.644263894767512,0.9834996711749652
0.2196078431372549,0.5111387322375932,0.6495758744779339,0.9852332712914448
0.22352941176470587,0.5165621819788586,0.6548393377591023,0.9868715814280132
0.22745098039215686,0.5219902492483207,0.6600535616470083,0.9884143910432847
0.23137254901960785,0.5274222430008886,0.6652178269491371,0.9898615051220324
0.23529411764705882,0.532857463637912,0.6703314183980558,0.991212744176074
0.2392156862745098,0.5382952033459486,0.6753936248013475,0.9924679442421503
